total_step,loss:
100,"tensor(514, device='cuda:0', dtype=torch.int32)"
200,"tensor(166, device='cuda:0', dtype=torch.int32)"
300,"tensor(126, device='cuda:0', dtype=torch.int32)"
400,"tensor(142, device='cuda:0', dtype=torch.int32)"
500,"tensor(120, device='cuda:0', dtype=torch.int32)"
600,"tensor(119, device='cuda:0', dtype=torch.int32)"
700,"tensor(131, device='cuda:0', dtype=torch.int32)"
800,"tensor(130, device='cuda:0', dtype=torch.int32)"
900,"tensor(111, device='cuda:0', dtype=torch.int32)"
1000,"tensor(110, device='cuda:0', dtype=torch.int32)"
1100,"tensor(119, device='cuda:0', dtype=torch.int32)"
1200,"tensor(103, device='cuda:0', dtype=torch.int32)"
1300,"tensor(110, device='cuda:0', dtype=torch.int32)"
1400,"tensor(100, device='cuda:0', dtype=torch.int32)"
1500,"tensor(119, device='cuda:0', dtype=torch.int32)"
1600,"tensor(117, device='cuda:0', dtype=torch.int32)"
1700,"tensor(110, device='cuda:0', dtype=torch.int32)"
1800,"tensor(109, device='cuda:0', dtype=torch.int32)"
1900,"tensor(106, device='cuda:0', dtype=torch.int32)"
2000,"tensor(100, device='cuda:0', dtype=torch.int32)"
2100,"tensor(121, device='cuda:0', dtype=torch.int32)"
2200,"tensor(110, device='cuda:0', dtype=torch.int32)"
2300,"tensor(95, device='cuda:0', dtype=torch.int32)"
2400,"tensor(103, device='cuda:0', dtype=torch.int32)"
2500,"tensor(108, device='cuda:0', dtype=torch.int32)"
2600,"tensor(116, device='cuda:0', dtype=torch.int32)"
2700,"tensor(134, device='cuda:0', dtype=torch.int32)"
2800,"tensor(100, device='cuda:0', dtype=torch.int32)"
2900,"tensor(116, device='cuda:0', dtype=torch.int32)"
3000,"tensor(108, device='cuda:0', dtype=torch.int32)"
3100,"tensor(111, device='cuda:0', dtype=torch.int32)"
3200,"tensor(98, device='cuda:0', dtype=torch.int32)"
3300,"tensor(108, device='cuda:0', dtype=torch.int32)"
3400,"tensor(116, device='cuda:0', dtype=torch.int32)"
3500,"tensor(93, device='cuda:0', dtype=torch.int32)"
3600,"tensor(108, device='cuda:0', dtype=torch.int32)"
3700,"tensor(102, device='cuda:0', dtype=torch.int32)"
3800,"tensor(99, device='cuda:0', dtype=torch.int32)"
3900,"tensor(100, device='cuda:0', dtype=torch.int32)"
4000,"tensor(100, device='cuda:0', dtype=torch.int32)"
4100,"tensor(102, device='cuda:0', dtype=torch.int32)"
4200,"tensor(96, device='cuda:0', dtype=torch.int32)"
4300,"tensor(110, device='cuda:0', dtype=torch.int32)"
4400,"tensor(112, device='cuda:0', dtype=torch.int32)"
4500,"tensor(98, device='cuda:0', dtype=torch.int32)"
4600,"tensor(108, device='cuda:0', dtype=torch.int32)"
4700,"tensor(103, device='cuda:0', dtype=torch.int32)"
4800,"tensor(96, device='cuda:0', dtype=torch.int32)"
4900,"tensor(93, device='cuda:0', dtype=torch.int32)"
5000,"tensor(101, device='cuda:0', dtype=torch.int32)"
5100,"tensor(96, device='cuda:0', dtype=torch.int32)"
5200,"tensor(106, device='cuda:0', dtype=torch.int32)"
5300,"tensor(98, device='cuda:0', dtype=torch.int32)"
